id,value,feed_id,created_at,lat,lon,ele
0FW2TW6J17BQ0CF3E6D2Q4NJ2J,48.920895,3066712,2025-04-27 18:47:36 UTC,,,
0FW2TW7JSVEJFS3F3DM9BSBQJN,49.799801,3066712,2025-04-27 18:47:39 UTC,,,
0FW2TW8A470V38BG9QX3WY4VQB,52.172852,3066712,2025-04-27 18:47:42 UTC,,,
0FW2TW957JAK781KBQKDAEN82A,58.193363,3066712,2025-04-27 18:47:45 UTC,,,
0FW2TW9KSJHKEQCMVB4XGNW9B2,52.919926,3066712,2025-04-27 18:47:46 UTC,,,
0FW2TWA08MD68JY9RYR1HQ0CGN,53.579105,3066712,2025-04-27 18:47:47 UTC,,,
0FW2TWACQWB7820NZ7X4HANX2A,52.348625,3066712,2025-04-27 18:47:49 UTC,,,
0FW2TWARCEX1HQKE295TWAVHP5,52.172852,3066712,2025-04-27 18:47:50 UTC,,,
0FW4ANZ6ENRTH3QSRAS4KEYKXQ,23.520506,3066712,2025-04-29 15:21:04 UTC,,,
0FW4AP0H693V9R3TJBZS9739R1,23.652340,3066712,2025-04-29 15:21:08 UTC,,,
0FW4AP3XYD7YBZ0AAYR1GJ90CX,25.278318,3066712,2025-04-29 15:21:20 UTC,,,
0FW4AQFKAZ62AY7K7652B93STQ,24.047852,3066712,2025-04-29 15:23:43 UTC,,,
0FW4AQHZXN7QT7AS0CJQB4WJG3,24.091793,3066712,2025-04-29 15:23:50 UTC,,,
0FW4AQN8V43AW1S3VGJH8178NG,24.003904,3066712,2025-04-29 15:24:01 UTC,,,
0FW4AQP1ZMSHWF7AKX2BC8X95C,24.003904,3066712,2025-04-29 15:24:04 UTC,,,
0FW4AQQ08A12GTGRDVHJX0T24N,24.223631,3066712,2025-04-29 15:24:07 UTC,,,
0FW4AQR7B3V92TY539614YMF54,24.047852,3066712,2025-04-29 15:24:11 UTC,,,
0FW4AQSRD1JME4VB72KAH7J36E,26.289059,3066712,2025-04-29 15:24:16 UTC,,,
0FW4AQTWGBA2DBRQ5MTEMHCJQW,26.245117,3066712,2025-04-29 15:24:20 UTC,,,
0FW4AQWBM6TYMHE5HDSEV2M1TK,25.585938,3066712,2025-04-29 15:24:24 UTC,,,
0FW4AQWV2C6CZFRBJ4R032NQRP,25.585938,3066712,2025-04-29 15:24:26 UTC,,,
0FW4AQXBNTAVE0D7QQRSNM26Y0,25.454098,3066712,2025-04-29 15:24:28 UTC,,,
0FW4AQXWR9856CZ2CQ9TNN2RFX,25.146484,3066712,2025-04-29 15:24:29 UTC,,,
0FW4BBKK125SA52PJ6FA3E4Z7V,25.058592,3066712,2025-04-29 15:58:53 UTC,,,
0FW4BBNF95H2H0AGQS4KRV9G75,25.278318,3066712,2025-04-29 15:58:59 UTC,,,
0FW4BBPMBA73TFWTTSXFJMRJ33,25.014645,3066712,2025-04-29 15:59:03 UTC,,,
0FW4BBQTD64HQN42ZG9810BWVB,25.102537,3066712,2025-04-29 15:59:07 UTC,,,
0FW4BBT4K9H2E1E09ZY40EDRVN,25.717772,3066712,2025-04-29 15:59:14 UTC,,,
0FW4BCCZ550JNCG38XPADQW60E,25.190426,3066712,2025-04-29 16:00:16 UTC,,,
0FW4BCGPD24WNMFEG11SZBSK2F,25.585938,3066712,2025-04-29 16:00:28 UTC,,,
0FW4BCJD9B1M9DEXJH5MTNZWTD,25.937498,3066712,2025-04-29 16:00:34 UTC,,,
0FW4BCKJ9PGGS6J6KP99TN8B94,25.761717,3066712,2025-04-29 16:00:38 UTC,,,
0FW4BCMGTAH6R7ENG6CDC1H4G2,26.420897,3066712,2025-04-29 16:00:41 UTC,,,
0FW4BDM76V5NV57NC8W90HMMM7,25.629879,3066712,2025-04-29 16:02:25 UTC,,,
0FW4NQG03TTK8GA2G8K40VQYQQ,24.750973,3066712,2025-04-30 01:38:54 UTC,,,
